student_id,student_name,class,age,gender,ethnicity,disability_status,family_size,favorite_subjects,access_to_constant_electricity,on_scholarship,sleep,average_study_time,enjoy_reading,enjoy_dancing,enjoy_socialising,anxiety_before_during_exams,distance_to_school,mode_of_transportation,parent_id,parent_name,gender_parent,email,familyincomerange,numberofchildren,occupation,houseownership,educationlevel,maritalstatus,location,age_parent,workhoursperweek,employmentstatus,transportationmode,internetaccess,qualification,phone_number,academic_record_id,subject_id,attendance_percentage,assignment_score,exam_score,final_grade,evaluation_id,evaluation_date,comments,point,subject,totaldayspresent,attendancepercentage_overall,target
OGB/2024/0,Nkechi Akinyemi,Jss 3,13,Female,Hausa,True,0,Civic Education,True,True,<6 hours,4 - 6 hours,True,False,True,False,close,bicycle,parent#1,Doyin Uba,Female,doyinuba@gmail.com,"#70, 001 - #120,000",1,Self Employed,Owned,High School,Widowed,Rural,older,34,Part-time,Trekking,False,Diploma,2343137507466,0,subject_1,79.67,40.39,47.91,53.11,7,2024-09-29,Excellent performance,10,Mathematics,59,84.28571428571429,Fail
OGB/2024/0,Nkechi Akinyemi,Jss 3,13,Female,Hausa,True,0,Civic Education,True,True,<6 hours,4 - 6 hours,True,False,True,False,close,bicycle,parent#1,Doyin Uba,Female,doyinuba@gmail.com,"#70, 001 - #120,000",1,Self Employed,Owned,High School,Widowed,Rural,older,34,Part-time,Trekking,False,Diploma,2343137507466,5,subject_5,91.73,65.42,99.59,90.53,1,2024-10-05,Excellent performance,10,Civic Education,59,84.28571428571429,Pass
OGB/2024/0,Nkechi Akinyemi,Jss 3,13,Female,Hausa,True,0,Civic Education,True,True,<6 hours,4 - 6 hours,True,False,True,False,close,bicycle,parent#1,Doyin Uba,Female,doyinuba@gmail.com,"#70, 001 - #120,000",1,Self Employed,Owned,High School,Widowed,Rural,older,34,Part-time,Trekking,False,Diploma,2343137507466,7,subject_6,84.82,87.2,98.43,91.0,3,2024-09-15,Excellent performance,10,Agricultural Science,59,84.28571428571429,Pass
OGB/2024/1,Temiloluwa Eze,SS2,16,Male,Yoruba,False,1,Geography,False,True,>8 hours,4 - 6 hours,False,True,False,True,very far,school bus,parent#2,Adebisi Ojo,Female,adebisiojo@gmail.com,"#70, 001 - #120,000",0,Self Employed,Rent,Bachelor's Degree,Widowed,Urban,25-34,1,Full-time,Bus,False,Masters,2345199687099,10,subject_13,97.75,59.21,64.35,69.9,10,2024-10-01,Very bad performance,0,Biology,60,85.71428571428571,Pass
OGB/2024/1,Temiloluwa Eze,SS2,16,Male,Yoruba,False,1,Geography,False,True,>8 hours,4 - 6 hours,False,True,False,True,very far,school bus,parent#2,Adebisi Ojo,Female,adebisiojo@gmail.com,"#70, 001 - #120,000",0,Self Employed,Rent,Bachelor's Degree,Widowed,Urban,25-34,1,Full-time,Bus,False,Masters,2345199687099,16,subject_18,85.23,52.53,73.26,69.05,13,2024-10-03,Below average performance,2,Geography,60,85.71428571428571,Pass
OGB/2024/1,Temiloluwa Eze,SS2,16,Male,Yoruba,False,1,Geography,False,True,>8 hours,4 - 6 hours,False,True,False,True,very far,school bus,parent#2,Adebisi Ojo,Female,adebisiojo@gmail.com,"#70, 001 - #120,000",0,Self Employed,Rent,Bachelor's Degree,Widowed,Urban,25-34,1,Full-time,Bus,False,Masters,2345199687099,17,subject_25,50.91,42.13,80.82,69.86,11,2024-09-19,Excellent performance,10,Commerce,60,85.71428571428571,Fail
OGB/2024/1,Temiloluwa Eze,SS2,16,Male,Yoruba,False,1,Geography,False,True,>8 hours,4 - 6 hours,False,True,False,True,very far,school bus,parent#2,Adebisi Ojo,Female,adebisiojo@gmail.com,"#70, 001 - #120,000",0,Self Employed,Rent,Bachelor's Degree,Widowed,Urban,25-34,1,Full-time,Bus,False,Masters,2345199687099,18,subject_6,94.19,92.71,98.71,97.46,14,2024-09-14,Very bad performance,0,Agricultural Science,60,85.71428571428571,Pass
OGB/2024/2,Bukola Obi,Jss 2,11,Male,Hausa,True,3,Business Studies,False,True,>8 hours,2 - 3 hours,False,False,True,True,very close,tricycle,parent#3,Ifeanyichukwu Obi,Male,ifeanyichukwuobi@gmail.com,"<#30,000",3,Employed,Rent,Master's Degree,Divorced,Rural,25-34,3,Freelance,Trekking,False,PhD,2343882025167,22,subject_27,87.17,91.43,87.58,85.82,26,2024-10-05,Excellent performance,10,French,59,84.28571428571429,Pass
OGB/2024/2,Bukola Obi,Jss 2,11,Male,Hausa,True,3,Business Studies,False,True,>8 hours,2 - 3 hours,False,False,True,True,very close,tricycle,parent#3,Ifeanyichukwu Obi,Male,ifeanyichukwuobi@gmail.com,"<#30,000",3,Employed,Rent,Master's Degree,Divorced,Rural,25-34,3,Freelance,Trekking,False,PhD,2343882025167,23,subject_1,80.62,82.94,74.44,77.63,24,2024-09-13,Fair performance,6,Mathematics,59,84.28571428571429,Pass
OGB/2024/2,Bukola Obi,Jss 2,11,Male,Hausa,True,3,Business Studies,False,True,>8 hours,2 - 3 hours,False,False,True,True,very close,tricycle,parent#3,Ifeanyichukwu Obi,Male,ifeanyichukwuobi@gmail.com,"<#30,000",3,Employed,Rent,Master's Degree,Divorced,Rural,25-34,3,Freelance,Trekking,False,PhD,2343882025167,24,subject_16,66.21,99.85,99.45,94.52,25,2024-09-14,Below average performance,2,Further Mathematics,59,84.28571428571429,Pass
OGB/2024/2,Bukola Obi,Jss 2,11,Male,Hausa,True,3,Business Studies,False,True,>8 hours,2 - 3 hours,False,False,True,True,very close,tricycle,parent#3,Ifeanyichukwu Obi,Male,ifeanyichukwuobi@gmail.com,"<#30,000",3,Employed,Rent,Master's Degree,Divorced,Rural,25-34,3,Freelance,Trekking,False,PhD,2343882025167,25,subject_5,64.95,41.04,44.61,45.39,22,2024-09-24,Average performance,4,Civic Education,59,84.28571428571429,Fail
