parent_id,student_id,parent_name,gender,email,familyincomerange,numberofchildren,occupation,houseownership,educationlevel,maritalstatus,location,age,workhoursperweek,employmentstatus,transportationmode,internetaccess,qualification,phone_number
parent#1,OGB/2024/0,Doyin Uba,Female,doyinuba@gmail.com,"#70, 001 - #120,000",1,Self Employed,Owned,High School,Widowed,Rural,older,34,Part-time,Trekking,False,Diploma,2343137507466
parent#2,OGB/2024/1,Adebisi Ojo,Female,adebisiojo@gmail.com,"#70, 001 - #120,000",0,Self Employed,Rent,Bachelor's Degree,Widowed,Urban,25-34,1,Full-time,Bus,False,Masters,2345199687099
parent#3,OGB/2024/2,Ifeanyichukwu Obi,Male,ifeanyichukwuobi@gmail.com,"<#30,000",3,Employed,Rent,Master's Degree,Divorced,Rural,25-34,3,Freelance,Trekking,False,PhD,2343882025167
parent#4,OGB/2024/3,Uche Chukwuma,Male,uchechukwuma@gmail.com,"#30,001 - #70,000",1,Unemployed,Owned,Associate Degree,Married,Urban,55-64,19,Full-time,Trekking,True,Masters,2341172684301
parent#5,OGB/2024/4,Tobi Balogun,Female,tobibalogun@gmail.com,"#120, 001 - #200,000",2,Employed,Owned,Associate Degree,Divorced,Suburban,35-44,24,Full-time,Bus,True,None,2345287000043
parent#6,OGB/2024/5,Chinwe Okeke,Female,chinweokeke@gmail.com,"#30,001 - #70,000",0,Self Employed,Rent,Master's Degree,Divorced,Urban,35-44,12,Full-time,Trekking,False,Masters,2344199235874
parent#7,OGB/2024/6,Damilola Akinyemi,Female,damilolaakinyemi@gmail.com,"#120, 001 - #200,000",3,Self Employed,Owned,High School,Widowed,Suburban,55-64,22,Part-time,Bike,False,PhD,2344140705527
parent#8,OGB/2024/7,Nnamdi Abubakar,Female,nnamdiabubakar@gmail.com,"#70, 001 - #120,000",5,Employed,Rent,High School,Divorced,Rural,35-44,34,Full-time,Car,True,Masters,2348233017721
parent#9,OGB/2024/8,Tobi Olaniyi,Female,tobiolaniyi@gmail.com,"<#30,000",4,Self Employed,Owned,Bachelor's Degree,Divorced,Rural,35-44,3,Freelance,Bike,True,None,2346231852874
parent#10,OGB/2024/9,Bimbo Ajibola,Male,bimboajibola@gmail.com,"#120, 001 - #200,000",3,Self Employed,Owned,Associate Degree,Married,Rural,55-64,52,Freelance,Trekking,False,PhD,2345120590842
parent#11,OGB/2024/10,Yemi Adesina,Male,yemiadesina@gmail.com,"#70, 001 - #120,000",2,Self Employed,Owned,Associate Degree,Divorced,Suburban,35-44,52,Part-time,Bike,False,None,2343467779677
parent#12,OGB/2024/11,Kelechi Ajayi,Male,kelechiajayi@gmail.com,">#200,001",2,Employed,Owned,High School,Single,Rural,55-64,43,Full-time,Bus,True,Diploma,2343799687315
parent#13,OGB/2024/12,Kanyinsola Uba,Male,kanyinsolauba@gmail.com,"<#30,000",0,Unemployed,Rent,PhD,Divorced,Rural,55-64,55,Freelance,Trekking,False,Bachelors,2344080507337
parent#14,OGB/2024/13,Chika Adesina,Male,chikaadesina@gmail.com,"#120, 001 - #200,000",4,Self Employed,Rent,Master's Degree,Divorced,Suburban,older,27,Freelance,Bike,True,Bachelors,2345354065716
parent#15,OGB/2024/14,Yemi Ogundipe,Male,yemiogundipe@gmail.com,"#30,001 - #70,000",0,Self Employed,Rent,Bachelor's Degree,Widowed,Rural,35-44,47,Freelance,Bus,False,Bachelors,2345754329742
parent#16,OGB/2024/15,Ada Abiola,Female,adaabiola@gmail.com,"#120, 001 - #200,000",2,Self Employed,Rent,High School,Married,Urban,35-44,32,Part-time,Bus,True,Bachelors,2346181162701
parent#17,OGB/2024/16,Nkechi Nwosu,Female,nkechinwosu@gmail.com,">#200,001",3,Unemployed,Rent,High School,Widowed,Urban,45-54,33,Freelance,Bike,True,Bachelors,2341620123277
parent#18,OGB/2024/17,Zainab Nduka,Female,zainabnduka@gmail.com,"<#30,000",1,Unemployed,Rent,PhD,Divorced,Urban,25-34,54,Part-time,Car,True,Masters,2344374115502
parent#19,OGB/2024/18,Chika Obinna,Male,chikaobinna@gmail.com,"<#30,000",1,Self Employed,Rent,Master's Degree,Divorced,Rural,35-44,11,Freelance,Car,True,None,2349026439798
parent#20,OGB/2024/19,Zainab Hassan,Female,zainabhassan@gmail.com,"#30,001 - #70,000",3,Self Employed,Rent,PhD,Married,Rural,45-54,32,Full-time,Car,False,Diploma,2347060743623
parent#21,OGB/2024/20,Nkechi Ezeani,Female,nkechiezeani@gmail.com,"#30,001 - #70,000",4,Unemployed,Rent,Associate Degree,Married,Rural,35-44,23,Full-time,Bike,False,Diploma,2348216895937
parent#22,OGB/2024/21,Temiloluwa Ojo,Male,temiloluwaojo@gmail.com,"#120, 001 - #200,000",3,Employed,Owned,High School,Divorced,Suburban,55-64,43,Freelance,Trekking,False,Bachelors,2343727525740
parent#23,OGB/2024/22,Sadiq Ogunbiyi,Male,sadiqogunbiyi@gmail.com,">#200,001",4,Self Employed,Owned,Bachelor's Degree,Married,Suburban,25-34,44,Full-time,Bike,False,Masters,2346183086934
parent#24,OGB/2024/23,Funke Suleiman,Male,funkesuleiman@gmail.com,"#30,001 - #70,000",2,Unemployed,Rent,PhD,Widowed,Suburban,older,2,Part-time,Bus,False,Bachelors,2342516888774
parent#25,OGB/2024/24,Ekene Ogunleye,Male,ekeneogunleye@gmail.com,">#200,001",0,Employed,Rent,Associate Degree,Single,Rural,35-44,58,Full-time,Bike,False,Bachelors,2343844572111
parent#26,OGB/2024/25,Kehinde Nwosu,Male,kehindenwosu@gmail.com,"#120, 001 - #200,000",3,Self Employed,Rent,Bachelor's Degree,Single,Urban,35-44,13,Full-time,Trekking,False,Diploma,2347399129028
parent#27,OGB/2024/26,Chukwuemeka Adeola,Female,chukwuemekaadeola@gmail.com,"#30,001 - #70,000",2,Unemployed,Owned,High School,Married,Urban,55-64,6,Full-time,Car,False,Masters,2349371505482
parent#28,OGB/2024/27,Opeyemi Obinna,Male,opeyemiobinna@gmail.com,"#70, 001 - #120,000",2,Employed,Owned,Associate Degree,Married,Suburban,35-44,29,Part-time,Trekking,False,Bachelors,2342878836965
parent#29,OGB/2024/28,Opeyemi Ajayi,Male,opeyemiajayi@gmail.com,"#30,001 - #70,000",0,Employed,Rent,Bachelor's Degree,Single,Suburban,45-54,60,Part-time,Bike,False,Masters,2342082809647
parent#30,OGB/2024/29,Kanyinsola Nwosu,Female,kanyinsolanwosu@gmail.com,"#30,001 - #70,000",0,Employed,Owned,Bachelor's Degree,Single,Urban,45-54,11,Part-time,Trekking,False,PhD,2347155948235
parent#31,OGB/2024/30,Duru Ojo,Male,duruojo@gmail.com,">#200,001",5,Employed,Rent,Master's Degree,Widowed,Suburban,25-34,57,Part-time,Bus,False,PhD,2341681203727
parent#32,OGB/2024/31,Nkechi Ogundipe,Female,nkechiogundipe@gmail.com,"<#30,000",3,Self Employed,Rent,PhD,Widowed,Suburban,25-34,14,Full-time,Bike,True,PhD,2344580671460
parent#33,OGB/2024/32,Ekene Fadeyi,Male,ekenefadeyi@gmail.com,"#70, 001 - #120,000",5,Unemployed,Owned,Bachelor's Degree,Divorced,Suburban,older,45,Full-time,Car,False,None,2348508995749
parent#34,OGB/2024/33,Oluwaseun Hassan,Male,oluwaseunhassan@gmail.com,"#70, 001 - #120,000",3,Self Employed,Rent,Bachelor's Degree,Divorced,Urban,45-54,20,Freelance,Bike,False,Bachelors,2347546741316
parent#35,OGB/2024/34,Fola Johnson,Male,folajohnson@gmail.com,"<#30,000",1,Unemployed,Rent,PhD,Widowed,Rural,older,4,Freelance,Bike,True,Bachelors,2346170452916
parent#36,OGB/2024/35,Aderonke Onyekachi,Male,aderonkeonyekachi@gmail.com,"#70, 001 - #120,000",2,Self Employed,Owned,Master's Degree,Single,Rural,25-34,45,Part-time,Car,False,Masters,2342233557289
parent#37,OGB/2024/36,Ijeoma Kalu,Male,ijeomakalu@gmail.com,"#70, 001 - #120,000",1,Employed,Rent,Bachelor's Degree,Widowed,Suburban,older,13,Part-time,Car,False,PhD,2346512359350
parent#38,OGB/2024/37,Adebisi Ogunleye,Female,adebisiogunleye@gmail.com,">#200,001",3,Self Employed,Rent,PhD,Married,Suburban,55-64,31,Freelance,Bus,True,PhD,2346055434544
parent#39,OGB/2024/38,Yemi Awojobi,Female,yemiawojobi@gmail.com,"<#30,000",1,Self Employed,Rent,PhD,Married,Rural,35-44,13,Freelance,Trekking,False,Bachelors,2344303059911
parent#40,OGB/2024/39,Fisayo Aiyegbusi,Female,fisayoaiyegbusi@gmail.com,"#120, 001 - #200,000",4,Unemployed,Rent,Associate Degree,Divorced,Rural,55-64,36,Full-time,Car,False,Bachelors,2349870374607
parent#41,OGB/2024/40,Nkechi Ajayi,Male,nkechiajayi@gmail.com,"#120, 001 - #200,000",2,Unemployed,Owned,High School,Divorced,Urban,45-54,40,Part-time,Car,False,None,2347246725242
parent#42,OGB/2024/41,Amina Ezeani,Female,aminaezeani@gmail.com,"#120, 001 - #200,000",4,Self Employed,Owned,PhD,Married,Urban,25-34,39,Full-time,Bus,False,Bachelors,2346258396060
parent#43,OGB/2024/42,Ayo Aiyegbusi,Male,ayoaiyegbusi@gmail.com,"#120, 001 - #200,000",4,Employed,Owned,Associate Degree,Single,Urban,older,0,Part-time,Bus,True,Bachelors,2349005165377
parent#44,OGB/2024/43,Olamide Onyekachi,Female,olamideonyekachi@gmail.com,"#70, 001 - #120,000",3,Employed,Rent,High School,Married,Rural,older,2,Freelance,Car,False,None,2348900454771
parent#45,OGB/2024/44,Chinyere Nduka,Female,chinyerenduka@gmail.com,"#70, 001 - #120,000",4,Unemployed,Owned,Associate Degree,Widowed,Suburban,55-64,59,Freelance,Bus,False,Bachelors,2349433203404
parent#46,OGB/2024/45,Zainab Johnson,Female,zainabjohnson@gmail.com,">#200,001",3,Self Employed,Owned,Bachelor's Degree,Married,Suburban,35-44,24,Part-time,Bus,True,Masters,2342158092807
parent#47,OGB/2024/46,Funke Nwosu,Male,funkenwosu@gmail.com,"#120, 001 - #200,000",0,Employed,Rent,Associate Degree,Divorced,Suburban,25-34,13,Part-time,Car,True,Masters,2343063088799
parent#48,OGB/2024/47,Oluwaseun Hassan,Male,oluwaseunhassan@gmail.com,">#200,001",5,Employed,Rent,Bachelor's Degree,Divorced,Suburban,45-54,57,Full-time,Bike,False,Diploma,2341573321170
parent#49,OGB/2024/48,Kanyinsola Ibrahim,Female,kanyinsolaibrahim@gmail.com,"#70, 001 - #120,000",0,Self Employed,Owned,PhD,Widowed,Urban,45-54,44,Part-time,Bike,False,Diploma,2344354403023
parent#50,OGB/2024/49,Ololade Obinna,Male,ololadeobinna@gmail.com,"<#30,000",5,Employed,Owned,High School,Widowed,Rural,25-34,7,Full-time,Bike,True,Bachelors,2348066167622
parent#51,OGB/2024/50,Doyin Olatunde,Female,doyinolatunde@gmail.com,"#30,001 - #70,000",1,Unemployed,Owned,Associate Degree,Married,Urban,55-64,59,Full-time,Car,False,PhD,2342651765604
parent#52,OGB/2024/51,Temiloluwa Akanbi,Male,temiloluwaakanbi@gmail.com,"#120, 001 - #200,000",0,Unemployed,Owned,PhD,Single,Rural,45-54,18,Full-time,Trekking,False,None,2341621448128
parent#53,OGB/2024/52,Jumoke Okwudili,Female,jumokeokwudili@gmail.com,"#120, 001 - #200,000",1,Employed,Owned,PhD,Divorced,Suburban,25-34,0,Freelance,Bike,False,PhD,2345719458685
parent#54,OGB/2024/53,Adebisi Ajibola,Male,adebisiajibola@gmail.com,"#70, 001 - #120,000",0,Unemployed,Owned,Master's Degree,Married,Urban,55-64,57,Part-time,Car,False,None,2342733941624
parent#55,OGB/2024/54,Fisayo Nduka,Male,fisayonduka@gmail.com,"#30,001 - #70,000",0,Self Employed,Owned,Bachelor's Degree,Widowed,Rural,55-64,15,Freelance,Trekking,False,None,2349860379131
parent#56,OGB/2024/55,Chinonso Eze,Female,chinonsoeze@gmail.com,">#200,001",0,Employed,Rent,PhD,Married,Suburban,older,42,Part-time,Trekking,True,Bachelors,2341460073271
parent#57,OGB/2024/56,Chidera Dada,Female,chideradada@gmail.com,">#200,001",4,Employed,Rent,PhD,Single,Urban,35-44,52,Full-time,Car,True,None,2349155179392
parent#58,OGB/2024/57,Opeyemi Obi,Male,opeyemiobi@gmail.com,"#30,001 - #70,000",2,Employed,Owned,PhD,Divorced,Rural,55-64,58,Full-time,Trekking,False,PhD,2344959218902
parent#59,OGB/2024/58,Temitope Nwosu,Female,temitopenwosu@gmail.com,">#200,001",1,Self Employed,Rent,Bachelor's Degree,Divorced,Suburban,45-54,53,Freelance,Trekking,True,Masters,2347990142324
parent#60,OGB/2024/59,Nneka Abiola,Male,nnekaabiola@gmail.com,"#120, 001 - #200,000",0,Self Employed,Owned,PhD,Single,Rural,35-44,21,Full-time,Bus,False,Bachelors,2341014477641
parent#61,OGB/2024/60,Ada Akanbi,Female,adaakanbi@gmail.com,"#120, 001 - #200,000",4,Employed,Rent,Master's Degree,Married,Suburban,older,11,Freelance,Car,False,Diploma,2345117248077
parent#62,OGB/2024/61,Doyin Chukwuma,Female,doyinchukwuma@gmail.com,"#70, 001 - #120,000",0,Unemployed,Rent,Associate Degree,Divorced,Suburban,25-34,24,Part-time,Bus,True,None,2347673831101
parent#63,OGB/2024/62,Obiageli Okafor,Male,obiageliokafor@gmail.com,"#120, 001 - #200,000",2,Self Employed,Rent,Associate Degree,Widowed,Rural,25-34,52,Part-time,Trekking,False,PhD,2347734298556
parent#64,OGB/2024/63,Bola Awojobi,Female,bolaawojobi@gmail.com,"#70, 001 - #120,000",1,Employed,Rent,High School,Single,Suburban,older,14,Freelance,Bus,True,Masters,2345301240165
parent#65,OGB/2024/64,Kelechi Ojo,Male,kelechiojo@gmail.com,">#200,001",4,Self Employed,Owned,Associate Degree,Widowed,Rural,older,23,Full-time,Car,True,None,2341830728880
parent#66,OGB/2024/65,Ngozi Ibrahim,Female,ngoziibrahim@gmail.com,"<#30,000",5,Self Employed,Owned,Associate Degree,Divorced,Urban,45-54,58,Part-time,Bike,False,Bachelors,2348577019017
parent#67,OGB/2024/66,Temitope Ajayi,Male,temitopeajayi@gmail.com,"<#30,000",5,Unemployed,Rent,High School,Single,Rural,35-44,53,Freelance,Bus,True,Diploma,2348750668758
parent#68,OGB/2024/67,Kelechi Ibrahim,Female,kelechiibrahim@gmail.com,"<#30,000",3,Employed,Owned,PhD,Divorced,Urban,55-64,25,Part-time,Bus,True,None,2343517677005
parent#69,OGB/2024/68,Zainab Balogun,Female,zainabbalogun@gmail.com,"<#30,000",3,Self Employed,Rent,Associate Degree,Married,Rural,55-64,2,Full-time,Car,False,Masters,2347995844776
parent#70,OGB/2024/69,Aderonke Okwudili,Male,aderonkeokwudili@gmail.com,"<#30,000",3,Self Employed,Rent,Associate Degree,Widowed,Urban,55-64,9,Freelance,Car,True,PhD,2342532820191
parent#71,OGB/2024/70,Ololade Abiola,Female,ololadeabiola@gmail.com,">#200,001",0,Self Employed,Owned,Associate Degree,Single,Rural,25-34,9,Freelance,Car,False,Bachelors,2346926717770
parent#72,OGB/2024/71,Yemi Ogunleye,Male,yemiogunleye@gmail.com,"#120, 001 - #200,000",1,Employed,Rent,Master's Degree,Divorced,Urban,25-34,38,Part-time,Bus,False,Diploma,2343682719160
parent#73,OGB/2024/72,Amina Okwudili,Female,aminaokwudili@gmail.com,"<#30,000",5,Employed,Rent,High School,Divorced,Rural,45-54,15,Full-time,Trekking,True,PhD,2344823625005
