parent_id,student_id,parent_name,gender,email,familyIncomeRange,numberOfChildren,occupation,houseOwnership,educationLevel,maritalStatus,location,age,workHoursPerWeek,employmentStatus,transportationMode,internetAccess,qualification,phone_number
parent#1,OGB/2024/0,Doyin Balogun,Female,doyinbalogun@gmail.com,"#70, 001 - #120,000",1,Self Employed,Owned,High School,Widowed,Rural,older,34,Part-time,Trekking,False,Diploma,+2343137507466
parent#2,OGB/2024/1,Adebisi Ajayi,Female,adebisiajayi@gmail.com,"#70, 001 - #120,000",0,Self Employed,Rent,Bachelor's Degree,Widowed,Urban,25-34,1,Full-time,Bus,False,Masters,+2345199687099
parent#3,OGB/2024/2,Ifeanyichukwu Uba,Male,ifeanyichukwuuba@gmail.com,"<#30,000",3,Employed,Rent,Master's Degree,Divorced,Rural,25-34,3,Freelance,Trekking,False,PhD,+2343882025167
parent#4,OGB/2024/3,Uche Ibrahim,Male,ucheibrahim@gmail.com,"#30,001 - #70,000",1,Unemployed,Owned,Associate Degree,Married,Urban,55-64,19,Full-time,Trekking,True,Masters,+2341172684301
parent#5,OGB/2024/4,Tobi Aiyegbusi,Female,tobiaiyegbusi@gmail.com,"#120, 001 - #200,000",2,Employed,Owned,Associate Degree,Divorced,Suburban,35-44,24,Full-time,Bus,True,None,+2345287000043
parent#6,OGB/2024/5,Chinwe Nwankwo,Female,chinwenwankwo@gmail.com,"#30,001 - #70,000",0,Self Employed,Rent,Master's Degree,Divorced,Urban,35-44,12,Full-time,Trekking,False,Masters,+2344199235874
parent#7,OGB/2024/6,Damilola Ajibola,Female,damilolaajibola@gmail.com,"#120, 001 - #200,000",3,Self Employed,Owned,High School,Widowed,Suburban,55-64,22,Part-time,Bike,False,PhD,+2344140705527
parent#8,OGB/2024/7,Nnamdi Nwosu,Female,nnamdinwosu@gmail.com,"#70, 001 - #120,000",5,Employed,Rent,High School,Divorced,Rural,35-44,34,Full-time,Car,True,Masters,+2348233017721
parent#9,OGB/2024/8,Tobi Eze,Female,tobieze@gmail.com,"<#30,000",4,Self Employed,Owned,Bachelor's Degree,Divorced,Rural,35-44,3,Freelance,Bike,True,None,+2346231852874
parent#10,OGB/2024/9,Bimbo Obadiah,Male,bimboobadiah@gmail.com,"#120, 001 - #200,000",3,Self Employed,Owned,Associate Degree,Married,Rural,55-64,52,Freelance,Trekking,False,PhD,+2345120590842
parent#11,OGB/2024/10,Yemi Dada,Male,yemidada@gmail.com,"#70, 001 - #120,000",2,Self Employed,Owned,Associate Degree,Divorced,Suburban,35-44,52,Part-time,Bike,False,None,+2343467779677
parent#12,OGB/2024/11,Kelechi Awojobi,Male,kelechiawojobi@gmail.com,">#200,001",2,Employed,Owned,High School,Single,Rural,55-64,43,Full-time,Bus,True,Diploma,+2343799687315
